stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,vehicle_type
0:ALCJUDEN,ALCY ROAD at JUDSON STREET,st 4692,35.077607,-90.004438,,0,1:ALCJUDEN,3
0:ALCSHEEF,ALCY ROAD at SHERRIE STREET,st 4693,35.077526,-90.002027,,0,1:ALCSHEEF,3
0:ALCJOHEN,ALCY ROAD at JOHANNA DRIVE,st 4694,35.077766,-90.000279,,0,1:ALCJOHEN,3
0:ALCKE1EM,ALCY ROAD at KETCHUM ROAD,st 4698,35.078316,-89.993389,,0,1:ALCKE1EM,3
0:ALCKE2EM,ALCY ROAD at KETCHUM ROAD,st 4699,35.07899,-89.985714,,0,1:ALCKE2EM,3
0:AUCFIFEF,AUCTION AVENUE at 5TH STREET,st 809,35.155802,-90.041798,,0,1:AUCFIFEF,3
0:AUCDANEM,AUCTION AVENUE at DANNY THOMAS BOULEVARD,st 810,35.155757,-90.039473,,0,1:AUCDANEM,3
0:AUCDANEN,AUCTION AVENUE at DANNY THOMAS BOULEVARD,st 811,35.155971,-90.037735,,0,1:AUCDANEN,3
0:PERDEANN,PERKINS ROAD at EAST DEARING ROAD,st 2820,35.087192,-89.907014,,0,1:PERDEANN,3
0:PERDEANF,PERKINS ROAD at EAST DEARING ROAD,st 2821,35.087844,-89.907001,,0,1:PERDEANF,3
0:PERBOYNN,PERKINS ROAD at BOYCE ROAD,st 2822,35.089292,-89.906943,,0,1:PERBOYNN,3
0:STRMACNN,STRATFORD ROAD at MACON ROAD,st 1118,35.161813,-89.905732,,0,1:STRMACNN,3
0:CENBLYWM,CENTRAL AVENUE at BLYTHE STREET,st 3529,35.126072,-89.989026,,0,1:CENBLYWM,3
0:AIRPRESF,AIR PARK STREET at PREMIER AVENUE,st 7158,35.043877,-89.931357,,0,1:AIRPRESF,3
0:AIRPRESM,AIR PARK STREET at PREMIER AVENUE,st 7157,35.046728,-89.931374,,0,1:AIRPRESM,3
0:HOLCHENF,HOLLYWOOD STREET at CHELSEA AVENUE,st 1530,35.175115,-89.975367,,0,1:HOLCHENF,3
0:KIMHOPWN,KIMBALL AVENUE at HOPE STREET,st 4160,35.093474,-89.947934,,0,1:KIMHOPWN,3
0:KIMHOPEN,KIMBALL AVENUE at HOPE STREET,st 4182,35.093453,-89.9486,,0,1:KIMHOPEN,3
0:CENROLEM,CENTRAL AVENUE at ROLAND STREET,st 7029,35.126308,-90.009442,,0,1:CENROLEM,3
0:CENBELEF,CENTRAL AVENUE at BELVEDERE BOULEVARD,st 7030,35.126162,-90.004064,,0,1:CENBELEF,3
0:CENMCLEF,CENTRAL AVENUE at MCLEAN BOULEVARD,st 7031,35.126152,-90.001032,,0,1:CENMCLEF,3
0:CENMETEN,CENTRAL AVENUE at METCALF PLACE,st 7032,35.126078,-89.997458,,0,1:CENMETEN,3
0:CENLINEN,CENTRAL AVENUE at LINDSEY STREET,st 7033,35.126032,-89.994869,,0,1:CENLINEN,3
0:CENCOOEF,CENTRAL AVENUE at COOPER STREET,st 3489,35.125939,-89.990266,,0,1:CENCOOEF,3
0:CENMEDEF,CENTRAL AVENUE at MEDA STREET,st 3490,35.125893,-89.988562,,0,1:CENMEDEF,3
0:CENNEWEF,CENTRAL AVENUE at NEW YORK STREET,st 3491,35.125865,-89.986968,,0,1:CENNEWEF,3
0:CENLANEF,CENTRAL AVENUE at LANDIS STREET,st 3492,35.125882,-89.985408,,0,1:CENLANEF,3
0:CENEPAEF,CENTRAL AVENUE at EAST PARKWAY,st 3346,35.125836,-89.983372,,0,1:CENEPAEF,3
0:CENEAREN,CENTRAL AVENUE at EARLY MAXWELL BLVD,st 3348,35.125745,-89.980705,,0,1:CENEAREN,3
0:CENEDWEN,CENTRAL AVENUE at EDWIN CIRCLE,st 3349,35.125743,-89.978725,,0,1:CENEDWEN,3
0:CENHOLEM,CENTRAL AVENUE at HOLLYWOOD STREET,st 3350,35.125661,-89.976965,,0,1:CENHOLEM,3
0:CENHOLEN,CENTRAL AVENUE at HOLLYWOOD STREET,st 3351,35.125634,-89.976113,,0,1:CENHOLEN,3
0:CENFLIEM,CENTRAL AVENUE at FLICKER STREET,st 3493,35.125722,-89.974708,,0,1:CENFLIEM,3
0:KIMCATWN,KIMBALL AVENUE at CATHERINE STREET,st 4164,35.094909,-89.95623,,0,1:KIMCATWN,3
0:JACGR1SM,JACKSON AVENUE at GRAGG AVENUE,st 3723,35.182858,-89.933122,,0,1:JACGR1SM,3
